TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-08-26 17:09:27,654|0|423|0f88f260|Pull Request|CJMS|success|09dc294b|Reject Registration|Filename: 965640a4-0500-4fa0-a9f4-0161a91751bf | MTNA - Core Operations & Management > Search, View, Update, Accept, Reject > Reject Registration | ISL-CORE.REJECT_SUBSCRIBER_REG_V5_REQ.TA - Request: ReqMsg{id=0E96C285F2AC400E8E467DBA1A53C495, name=REJECT_SUBSCRIBER_REG_V5_REQ, dataObject=SubscriberManualReq%5BregistMsisdn=333333504,iccid=3333333333333333504,dealerName=mirnawc,currentDate=Tue Aug 26 17:09:27 ICT 2025,trxEventType=TRX_REJECTED,trxStatus=SUCCESS - 200,reasonLst={Reason%5BcrmMsgArrayOptionId=TRANS_ECW,crmMsgArrayId=REASONS,formId=4,comment=520226-1-1%5D},rejectedFieldIds=registration_form,trxId=0E96C285F2AC400E8E467DBA1A53C495,instanceId=11000101,idCompany=1,createdDateTime=Tue Aug 26 17:09:27 ICT 2025%5D, datum=null}
2025-08-26 17:09:27,678|1|0|2b8e3f41|POJO or JSON?|ROA|POJO|e65983ef|Inspect Request|
2025-08-26 17:09:27,689|10|1|6977e596|ReqMsg to JSON|PTJ|success|e65983ef|Inspect Request|
2025-08-26 17:09:27,692|3|0|f0229f99|Store Request Data in Attributes|EJP|matched|e65983ef|Inspect Request|
2025-08-26 17:09:27,717|24|0|10fb8144|Load trxData|ESQLR|pre|e65983ef|Inspect Request|
2025-08-26 17:09:27,723|30|5|10fb8144|Load trxData|ESQLR|success|e65983ef|Inspect Request|
2025-08-26 17:09:27,735|12|0|496b39d2|Store Original Trx Status Id|UA|success|e65983ef|Inspect Request|
2025-08-26 17:09:27,780|28|0|440c37f8|check is bulk reg?|ROA|unmatched|09dc294b|Reject Registration|
2025-08-26 17:09:27,794|6|0|d2cc7636|Registration Updated By Eyeballing|ROA|unmatched|46d08bcb|Validate Reject Request|
2025-08-26 17:09:27,826|32|0|817b8aee|Trx Status is Success?|ROA|SUCCESS|46d08bcb|Validate Reject Request|
